OBJECTID,RNFL_DATE,WMRS_DAM_DLY_RNF_MM,WMRS_DAM_NMBR_DLY_RNF_MM,STNB_DAM_DLY_RNF_MM,STNB_DAM_NMBR_DLY_RNF_MM,VLVL_DAM_DLY_RNF_MM,VLVL_DAM_NMBR_DLY_RNF_MM,THWT_KLF_DAM_DLY_RNF_MM,THWT_KLF_DAM_NMBR_DLY_RNF_MM,WDHD_DAM_DLY_RNF_MM,WDHD_DAM_NMBR_DLY_RNF_MM,DE_VLRS_HS_DAM_DLY_RNF_MM,DE_VLRS_HS_DAM_NMBR_DLY_RNF_MM,NWLN_DAM_DLY_RNF_MM,NWLN_DAM_NMBR_DLY_RNF_MM,WYNB_DAM_DLY_RNF_MM,WYNB_DAM_NMBR_DLY_RNF_MM,CNST_NEK_DAM_DLY_RNF_MM,CNST_NEK_DAM_NMBR_DLY_RNF_MM,PLTK_DAM_DLY_RNF_MM,PLTK_DAM_NMBR_DLY_RNF_MM,BLCK_UPR_WTP_DAM_DLY_RNF_MM,BLCK_UPR_WTP_DAM_NMB_DLY_RNF_MM,BLCK_LWR_DAM_DLY_RNF_MM,BLCK_LWR_DAM_NMBR_DLY_RNF_MM,GLEN_GRY_DAM_DLY_RNF_MM,GLEN_GRY_DAM_NMBR_DLY_RNF_MM,TYGR_DAM_DLY_RNF_MM,TYGR_DAM_NMBR_DLY_RNF_MM,FR_DAM_DLY_RNF_MM,FR_DAM_NMBR_DLY_RNF_MM,BRKL_DAM_DLY_RNF_MM,BRKL_DAM_NMBR_DLY_RNF_MM,ATLN_WSFL_DAM_DLY_RNF_MM,ATLN_WSFL_DAM_NMBR_DLY_RNF_MM,MLTN_DAM_DLY_RNF_MM,MLTN_DAM_NMBR_DLY_RNF_MM,KLF_NEK_DAM_DLY_RNF_MM,KLF_NEK_DAM_NMBR_DLY_RNF_MM,BRGR_DAM_DLY_RNF_MM,BRGR_DAM_NMB_DLY_RNF_MM,NWLN_DAM_DLY_EVP_MM,NWLN_DAM_NMBR_DLY_EVP_MM,STNB_DAM_DLY_EVP_MM,STNB_DAM_NMBR_DLY_EVP_MM,WMRS_DAM_DLY_EVP_MM,WMRS_DAM_NMBR_DLY_EVP_MM,BRKL_DAM_DLY_EVP_MM,BRKL_DAM_NMBR_DLY_EVP_MM,WDHD_DAM_DLY_EVP_MM,WDHD_DAM_NMBR_DLY_EVP_MM,MLTN_DAM_DLY_EVP_MM,MLTN_DAM_NMBR_DLY_EVP_MM,STNB_2_DAM_DLY_RNF_MM,STNB_2_DAM_NMBR_DLY_RNF_MM,STNB_3_DAM_DLY_RNF_MM,STNB_3_DAM_NMBR_DLY_RNF_MM,STNB_CTCH_4_DLY_RNF_MM,STNB_CTCH_4_NMBR_DLY_RNF_MM,WMRS_2_STH_DAM_DLY_RNF_MM,WMRS_2_STH_DAM_NMBR_DLY_RNF_MM,WMRS_3_NRTH_DAM_DLY_RNF_MM,WMRS_3_NRTH_DAM_NMBR_DLY_RNF_MM,WMRS_4_NEW_STH_DAM_DLY_RNF_MM,WMRS_4_NEW_STH_DAM_NMBR_DLY_RNF,WMRS_5_NEW_NRTH_DAM_DLY_RNF_MM,WMRS_5_NEW_NRTH_DAM_NMBR_DLY_RN,HS_DAM,TNL_DAM,MLS_DAM,WVL_DAM,SPRN_DAM,KTCH_DAM,WKPJ_DAM,CNEK_DISA_DAM,DAM_DAY,DAM_MNTH,DAM_YEAR,WMRS_HOEK_1_DAM_DLY_RNF,STNB_1_DAM_DLY_RNF,VLVL_DAM_DLY_RNF,THWT_DAM_DLY_RNF,WDHD_DAM_DLY_RNF,DE_VLRS_DAM_DLY_RNF,NWLN_DAM_DLY_RNF,WYNB_DAM_DLY_RNF,CNST_DAM_DLY_RNF,PLTK_DAM_DLY_RNF,BLCK_UPR_DAM_DLY_RNF,BLCK_LWR_DAM_DLY_RNF,GLNG_DAM_DLY_RNF,TYGR_DAM_DLY_RNF,FR_DAM_DLY_RNF,BRKL_DAM_DLY_RNF,ATLN_DAM_DLY_RNF,MLTN_DAM_DLY_RNF,KLFN_DAM_DLY_RNF,BRGR_DAM_DLY_RNF
2317,2006/05/05 00:00:00+00,37,,26,,28,,,,3,,,,28.5,,41,,14,,10.6,,15.3,,16.5,,18.6,,17.5,,16,,3,,,,,,,,,,,,2,,0,,0,,0,,,,,,,,,,37,,3.5,,,,,,,,,,,,,,5,5,2006,,,,,,,,,,,,,,,,,,,,
2318,2006/05/06 00:00:00+00,0.9,,2.8,,0,,,,0,,,,2,,41.5,,3,,0.5,,0.5,,1,,0,,0,,2,,22,,,,,,,,,,,,1.3,,0,,0,,0,,,,,,,,,,0.9,,1.8,,,,,,,,,,,,,,6,5,2006,,,,,,,,,,,,,,,,,,,,
2319,2006/05/07 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,,,,,,,,,,,1.5,,0,,0,,2,,,,,,,,,,0,,2,,,,,,,,,,,,,,7,5,2006,,,,,,,,,,,,,,,,,,,,
2320,2006/05/08 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1,,0,,3,,5,,,,,,,,,,0,,2,,,,,,,,,,,,,,8,5,2006,,,,,,,,,,,,,,,,,,,,
2321,2006/05/09 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1.5,,0,,2,,3,,,,,,,,,,0,,2.5,,,,,,,,,,,,,,9,5,2006,,,,,,,,,,,,,,,,,,,,
2322,2006/05/10 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1.5,,0,,3,,2,,,,,,,,,,0,,3,,,,,,,,,,,,,,10,5,2006,,,,,,,,,,,,,,,,,,,,
2323,2006/05/11 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,2,,0,,3,,7,,,,,,,,,,0,,3.5,,,,,,,,,,,,,,11,5,2006,,,,,,,,,,,,,,,,,,,,
2324,2006/05/12 00:00:00+00,0,,0,,0,,,,7.5,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,2.5,,0,,3,,3,,,,,,,,,,0,,2,,,,,,,,,,,,,,12,5,2006,,,,,,,,,,,,,,,,,,,,
2325,2006/05/13 00:00:00+00,5.5,,14.5,,1.2,,,,0,,,,4,,5.5,,5.1,,0,,5,,9,,4.5,,7.2,,5,,0,,,,,,,,,,,,0,,0,,4,,0,,,,,,,,,,5.5,,1.5,,,,,,,,,,,,,,13,5,2006,,,,,,,,,,,,,,,,,,,,
2326,2006/05/14 00:00:00+00,0,,0,,0.1,,,,0,,,,0,,0,,0,,5.4,,0,,0,,0,,0,,0,,7,,,,,,,,,,,,1,,0,,0,,2,,,,,,,,,,0,,2.5,,,,,,,,,,,,,,14,5,2006,,,,,,,,,,,,,,,,,,,,
2327,2006/05/15 00:00:00+00,0,,0,,0,,,,39,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1.5,,0,,5,,0,,,,,,,,,,0,,1,,,,,,,,,,,,,,15,5,2006,,,,,,,,,,,,,,,,,,,,
2328,2006/05/16 00:00:00+00,12.3,,9.2,,10.7,,,,20,,,,33,,28.1,,29,,0,,7.5,,10,,13.3,,8.8,,4,,0,,,,,,,,,,,,1.2,,0,,2,,0,,,,,,,,,,12.3,,2.3,,,,,,,,,,,,,,16,5,2006,,,,,,,,,,,,,,,,,,,,
2329,2006/05/17 00:00:00+00,22.5,,13,,36,,,,85,,,,63,,31.1,,20,,3.4,,13,,14.5,,22.3,,9.6,,3.5,,18,,,,,,,,,,,,1,,0,,0,,0,,,,,,,,,,22.5,,0,,,,,,,,,,,,,,17,5,2006,,,,,,,,,,,,,,,,,,,,
2330,2006/05/18 00:00:00+00,36.4,,12.5,,28,,,,36,,,,13,,11,,10,,7.8,,7.6,,6,,7,,14.5,,20,,9,,,,,,,,,,,,0.5,,0,,0,,0,,,,,,,,,,36.4,,0,,,,,,,,,,,,,,18,5,2006,,,,,,,,,,,,,,,,,,,,
2331,2006/05/19 00:00:00+00,23.2,,25,,8,,,,10.5,,,,46,,29.4,,26,,10.5,,14,,16.2,,26,,19.9,,21,,10,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,23.2,,6,,,,,,,,,,,,,,19,5,2006,,,,,,,,,,,,,,,,,,,,
2332,2006/05/20 00:00:00+00,0.5,,4.5,,0,,,,10.5,,,,16.5,,5.5,,18,,9.2,,5,,5.8,,6.8,,7.7,,6,,38,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,0.5,,1,,,,,,,,,,,,,,20,5,2006,,,,,,,,,,,,,,,,,,,,
2333,2006/05/21 00:00:00+00,1.1,,6.4,,2,,,,20,,,,6.5,,2.5,,8,,5.3,,5,,2.8,,4.3,,3,,3,,16,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,1.1,,0.6,,,,,,,,,,,,,,21,5,2006,,,,,,,,,,,,,,,,,,,,
2334,2006/05/22 00:00:00+00,17,,19.1,,7,,,,0,,,,28,,13.5,,18,,15.6,,21,,20.1,,20.05,,10,,24,,10,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,17,,0.5,,,,,,,,,,,,,,22,5,2006,,,,,,,,,,,,,,,,,,,,
2335,2006/05/23 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0.5,,0,,0,,21,,,,,,,,,,,,0,,0,,0,,1,,,,,,,,,,0,,2.5,,,,,,,,,,,,,,23,5,2006,,,,,,,,,,,,,,,,,,,,
2336,2006/05/24 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1,,0,,3,,0,,,,,,,,,,0,,2,,,,,,,,,,,,,,24,5,2006,,,,,,,,,,,,,,,,,,,,
2337,2006/05/25 00:00:00+00,0,,0,,0,,,,53,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1.5,,0,,5,,3,,,,,,,,,,0,,2,,,,,,,,,,,,,,25,5,2006,,,,,,,,,,,,,,,,,,,,
2338,2006/05/26 00:00:00+00,22.4,,41.5,,18,,,,13.5,,,,62,,35,,34,,12.7,,13.5,,13.2,,21,,13,,16,,0,,,,,,,,,,,,0,,0,,3,,0,,,,,,,,,,22.4,,0,,,,,,,,,,,,,,26,5,2006,,,,,,,,,,,,,,,,,,,,
2339,2006/05/27 00:00:00+00,3,,10,,12,,,,0,,,,7,,8,,9.2,,6.5,,4,,2.5,,2.5,,3.5,,2,,24,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,3,,0.5,,,,,,,,,,,,,,27,5,2006,,,,,,,,,,,,,,,,,,,,
2340,2006/05/28 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,,,,,,,,,,,0,,0,,0,,2.5,,,,,,,,,,0,,1,,,,,,,,,,,,,,28,5,2006,,,,,,,,,,,,,,,,,,,,
2341,2006/05/29 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1,,0,,1,,1,,,,,,,,,,0,,1,,,,,,,,,,,,,,29,5,2006,,,,,,,,,,,,,,,,,,,,
2342,2006/05/30 00:00:00+00,0,,0,,0,,,,1.5,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,0.5,,0,,1,,1,,,,,,,,,,0,,1.5,,,,,,,,,,,,,,30,5,2006,,,,,,,,,,,,,,,,,,,,
2343,2006/05/31 00:00:00+00,0,187.9,0,188.5,0,154.5,,,22,371.5,,,0,319.5,0,254.8,0,209.5,0,89.5,0,112.8,0,119.3,0,147.25,0,114.7,0,123.5,0,196.5,,,,,,,,,,,1,27.5,0,0,2,49,0,34,,,,,,,,,0,187.9,3.5,55.3,,0,,0,,,,,,,,,31,5,2006,15,13,13,,17,,14,15,14,12,15,15,14,11,13,14,,0,,
2344,2006/06/01 00:00:00+00,6.5,,16,,8,,,,0,,,,27,,9,,12,,6,,6,,6,,8,,5.2,,11,,0,,,,,,,,,,,,0,,0,,1,,0,,,,,,,,,,6.5,,0,,,,,,,,,,,,,,1,6,2006,,,,,,,,,,,,,,,,,,,,
2345,2006/06/02 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0.5,,0,,0.6,,0.5,,0,,0,,3,,14,,,,,,,,,,,,1.5,,0,,0,,4,,,,,,,,,,0,,3,,,,,,,,,,,,,,2,6,2006,,,,,,,,,,,,,,,,,,,,
2346,2006/06/03 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1.5,,0,,4,,4,,,,,,,,,,0,,3,,,,,,,,,,,,,,3,6,2006,,,,,,,,,,,,,,,,,,,,
2347,2006/06/04 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,2.5,,0,,2,,4,,,,,,,,,,0,,3,,,,,,,,,,,,,,4,6,2006,,,,,,,,,,,,,,,,,,,,
2348,2006/06/05 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,2,,0,,3,,5,,,,,,,,,,0,,3.5,,,,,,,,,,,,,,5,6,2006,,,,,,,,,,,,,,,,,,,,
2349,2006/06/06 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,2.5,,0,,2,,5,,,,,,,,,,0,,4,,,,,,,,,,,,,,6,6,2006,,,,,,,,,,,,,,,,,,,,
2350,2006/06/07 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1.5,,0,,4,,2,,,,,,,,,,0,,1,,,,,,,,,,,,,,7,6,2006,,,,,,,,,,,,,,,,,,,,
2351,2006/06/08 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1.5,,0,,5.5,,2,,,,,,,,,,0,,2.5,,,,,,,,,,,,,,8,6,2006,,,,,,,,,,,,,,,,,,,,
2352,2006/06/09 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,2,,0,,2,,2,,,,,,,,,,0,,2,,,,,,,,,,,,,,9,6,2006,,,,,,,,,,,,,,,,,,,,
2353,2006/06/10 00:00:00+00,0,,0,,0,,,,26.5,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1,,0,,2,,2,,,,,,,,,,0,,4,,,,,,,,,,,,,,10,6,2006,,,,,,,,,,,,,,,,,,,,
2354,2006/06/11 00:00:00+00,9.4,,5,,0,,,,46,,,,2,,11.2,,9,,5,,5,,8,,7.5,,7.5,,6,,0,,,,,,,,,,,,2,,0,,2,,0,,,,,,,,,,9.4,,2,,,,,,,,,,,,,,11,6,2006,,,,,,,,,,,,,,,,,,,,
2355,2006/06/12 00:00:00+00,57,,19.5,,37,,,,18.5,,,,125.5,,107.2,,50,,6.8,,16.7,,20,,22.5,,12.2,,8,,12,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,57,,0,,,,,,,,,,,,,,12,6,2006,,,,,,,,,,,,,,,,,,,,
2356,2006/06/13 00:00:00+00,6.4,,18.5,,10,,,,0,,,,14,,8,,11,,4,,1,,3,,5.1,,6,,10,,38,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,6.4,,0.4,,,,,,,,,,,,,,13,6,2006,,,,,,,,,,,,,,,,,,,,
2357,2006/06/14 00:00:00+00,0,,12.5,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,5.1,,0,,4.5,,6,,,,,,,,,,,,0,,0,,0,,2,,,,,,,,,,0,,0,,,,,,,,,,,,,,14,6,2006,,,,,,,,,,,,,,,,,,,,
2358,2006/06/15 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,0.5,,0,,2,,2,,,,,,,,,,0,,0.5,,,,,,,,,,,,,,15,6,2006,,,,,,,,,,,,,,,,,,,,
2359,2006/06/16 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1,,0,,1,,2.5,,,,,,,,,,0,,1,,,,,,,,,,,,,,16,6,2006,,,,,,,,,,,,,,,,,,,,
2360,2006/06/17 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1,,0,,1,,0,,,,,,,,,,0,,1.5,,,,,,,,,,,,,,17,6,2006,,,,,,,,,,,,,,,,,,,,
2361,2006/06/18 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,0.5,,0,,2,,3.5,,,,,,,,,,0,,1.5,,,,,,,,,,,,,,18,6,2006,,,,,,,,,,,,,,,,,,,,
2362,2006/06/19 00:00:00+00,0,,0,,0,,,,7.5,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1.5,,0,,1,,3.5,,,,,,,,,,0,,2.5,,,,,,,,,,,,,,19,6,2006,,,,,,,,,,,,,,,,,,,,
2363,2006/06/20 00:00:00+00,0,,0,,0,,,,7.5,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,2,,0,,2,,0,,,,,,,,,,0,,5.5,,,,,,,,,,,,,,20,6,2006,,,,,,,,,,,,,,,,,,,,
2364,2006/06/21 00:00:00+00,3.7,,12.5,,3,,,,0,,,,16,,8.7,,12,,5.8,,8,,6,,7,,4.8,,11,,0,,,,,,,,,,,,0.5,,0,,1,,0,,,,,,,,,,3.7,,0.3,,,,,,,,,,,,,,21,6,2006,,,,,,,,,,,,,,,,,,,,
2365,2006/06/22 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,0.5,,0,,5,,0,,,,,,,,,,0,,1.5,,,,,,,,,,,,,,22,6,2006,,,,,,,,,,,,,,,,,,,,
2366,2006/06/23 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1.5,,0,,2,,1.5,,,,,,,,,,0,,1,,,,,,,,,,,,,,23,6,2006,,,,,,,,,,,,,,,,,,,,
2367,2006/06/24 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1,,0,,1,,2,,,,,,,,,,0,,2.5,,,,,,,,,,,,,,24,6,2006,,,,,,,,,,,,,,,,,,,,
2368,2006/06/25 00:00:00+00,0,,0,,0,,,,6,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1.5,,0,,1,,3,,,,,,,,,,0,,2,,,,,,,,,,,,,,25,6,2006,,,,,,,,,,,,,,,,,,,,
2369,2006/06/26 00:00:00+00,0,,0.3,,0,,,,2,,,,0,,1.5,,5.2,,0,,0,,0,,9.3,,0,,0,,0,,,,,,,,,,,,1.8,,0,,3,,0,,,,,,,,,,0,,2.5,,,,,,,,,,,,,,26,6,2006,,,,,,,,,,,,,,,,,,,,
2370,2006/06/27 00:00:00+00,7.6,,2.3,,9,,,,0,,,,8.5,,8,,6,,0,,5.8,,10,,2,,4.5,,4,,5,,,,,,,,,,,,1.5,,0,,0,,0,,,,,,,,,,7.6,,0.1,,,,,,,,,,,,,,27,6,2006,,,,,,,,,,,,,,,,,,,,
2371,2006/06/28 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,5.4,,0,,0,,0,,0,,0,,2,,,,,,,,,,,,1,,0,,0,,2,,,,,,,,,,0,,0.5,,,,,,,,,,,,,,28,6,2006,,,,,,,,,,,,,,,,,,,,
2372,2006/06/29 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,0.5,,0,,1,,1,,,,,,,,,,0,,1.5,,,,,,,,,,,,,,29,6,2006,,,,,,,,,,,,,,,,,,,,
2373,2006/06/30 00:00:00+00,0,90.6,0,86.6,0,67,,,0,114,,,0,193,0,153.6,0,105.7,0,33,0,43.1,0,53.5,0,66.5,0,40.2,0,57.5,0,77,,,,,,,,,,,1,35.3,0,0,2,52.5,0,53,,,,,,,,,0,90.6,2.5,55.3,,0,,0,,,,,,,,,30,6,2006,6,8,5,,7,,6,7,8,6,7,7,8,6,8,6,,0,,
2374,2006/07/01 00:00:00+00,0,,0,,0,,,,1.5,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,2,,0,,3,,2,,,,,,,,,,0,,4.5,,,,,,,,,,,,,,1,7,2006,,,,,,,,,,,,,,,,,,,,
2375,2006/07/02 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,0.5,,0,,2,,0,,,,,,,,,,0,,0.8,,,,,,,,,,,,,,2,7,2006,,,,,,,,,,,,,,,,,,,,
2376,2006/07/03 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1,,0,,0,,0,,,,,,,,,,0,,1,,,,,,,,,,,,,,3,7,2006,,,,,,,,,,,,,,,,,,,,
2377,2006/07/04 00:00:00+00,0,,0,,0,,,,29,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,0.5,,0,,4,,2,,,,,,,,,,0,,1.5,,,,,,,,,,,,,,4,7,2006,,,,,,,,,,,,,,,,,,,,
2378,2006/07/05 00:00:00+00,9.1,,5.1,,0,,,,7.5,,,,23,,22.4,,8,,0,,3.2,,4,,4.5,,3.9,,0,,0,,,,,,,,,,,,0.1,,0,,1,,0,,,,,,,,,,9.1,,0.6,,,,,,,,,,,,,,5,7,2006,,,,,,,,,,,,,,,,,,,,
2379,2006/07/06 00:00:00+00,17.5,,16.6,,13,,,,0,,,,42.5,,19.5,,30,,8.5,,5.5,,7,,12.5,,9,,6.5,,9,,,,,,,,,,,,0.1,,0,,0,,0,,,,,,,,,,17.5,,0,,,,,,,,,,,,,,6,7,2006,,,,,,,,,,,,,,,,,,,,
2380,2006/07/07 00:00:00+00,0,,0,,0.3,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,,,,,,,,,,,,1,,0,,0,,2.5,,,,,,,,,,0,,0.5,,,,,,,,,,,,,,7,7,2006,,,,,,,,,,,,,,,,,,,,
2381,2006/07/08 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1,,0,,3,,5,,,,,,,,,,0,,3,,,,,,,,,,,,,,8,7,2006,,,,,,,,,,,,,,,,,,,,
2382,2006/07/09 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,2,,0,,2,,5,,,,,,,,,,0,,2,,,,,,,,,,,,,,9,7,2006,,,,,,,,,,,,,,,,,,,,
2383,2006/07/10 00:00:00+00,0,,0,,0,,,,28,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1,,0,,2,,2,,,,,,,,,,0,,2,,,,,,,,,,,,,,10,7,2006,,,,,,,,,,,,,,,,,,,,
2384,2006/07/11 00:00:00+00,0.9,,8.5,,0,,,,21,,,,20.5,,8.8,,20,,0.9,,1,,2,,5.5,,1.2,,1.5,,0,,,,,,,,,,,,0.5,,0,,1,,0,,,,,,,,,,0.9,,4.8,,,,,,,,,,,,,,11,7,2006,,,,,,,,,,,,,,,,,,,,
2385,2006/07/12 00:00:00+00,0.4,,10.7,,3,,,,17.6,,,,27.5,,12.8,,10,,5.2,,0,,0,,2.8,,3.5,,7,,22,,,,,,,,,,,,0.2,,0,,0,,0,,,,,,,,,,0.4,,0.4,,,,,,,,,,,,,,12,7,2006,,,,,,,,,,,,,,,,,,,,
2386,2006/07/13 00:00:00+00,23,,18,,12,,,,26.6,,,,8,,10,,10,,13.5,,15,,18,,17.2,,13.1,,15,,4,,,,,,,,,,,,0.1,,0,,1,,0,,,,,,,,,,23,,0,,,,,,,,,,,,,,13,7,2006,,,,,,,,,,,,,,,,,,,,
2387,2006/07/14 00:00:00+00,4.5,,51.4,,5,,,,22.5,,,,5,,8.5,,20,,3.7,,4.5,,4.8,,2.5,,2.1,,9.5,,15,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,4.5,,0.2,,,,,,,,,,,,,,14,7,2006,,,,,,,,,,,,,,,,,,,,
2388,2006/07/15 00:00:00+00,0,,24,,0,,,,2.6,,,,18.5,,22,,16,,5.8,,10.5,,12,,6.5,,8.6,,15,,12,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,0,,1,,,,,,,,,,,,,,15,7,2006,,,,,,,,,,,,,,,,,,,,
2389,2006/07/16 00:00:00+00,0.7,,3.5,,0,,,,0,,,,0,,0.5,,3,,0,,0.5,,0,,0.8,,0,,1,,20,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,0.7,,0.7,,,,,,,,,,,,,,16,7,2006,,,,,,,,,,,,,,,,,,,,
2390,2006/07/17 00:00:00+00,0,,4.2,,0,,,,0,,,,1.5,,2,,2,,1.2,,1.5,,1.8,,4.1,,1.8,,2,,5.5,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,0,,0,,,,,,,,,,,,,,17,7,2006,,,,,,,,,,,,,,,,,,,,
2391,2006/07/18 00:00:00+00,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,,,,,,,,,,,1,,0,,0,,2,,,,,,,,,,0,,2,,,,,,,,,,,,,,18,7,2006,,,,,,,,,,,,,,,,,,,,
2392,2006/07/19 00:00:00+00,0,,0,,0,,,,7,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,0.5,,0,,2,,2,,,,,,,,,,0,,0.5,,,,,,,,,,,,,,19,7,2006,,,,,,,,,,,,,,,,,,,,
2393,2006/07/20 00:00:00+00,0,,0,,0,,,,38,,,,4.5,,1,,3.5,,0.8,,0.7,,0,,0,,0.4,,0,,0,,,,,,,,,,,,0.5,,0,,1,,0,,,,,,,,,,0,,2.5,,,,,,,,,,,,,,20,7,2006,,,,,,,,,,,,,,,,,,,,
2394,2006/07/21 00:00:00+00,25.5,,33,,26,,,,5,,,,44.3,,28.5,,34,,15.3,,9.5,,9,,20.5,,10.1,,20,,2,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,25.5,,0,,,,,,,,,,,,,,21,7,2006,,,,,,,,,,,,,,,,,,,,
2395,2006/07/22 00:00:00+00,9,,12,,3,,,,5.5,,,,6,,5.1,,4,,3.2,,4.8,,7,,5.8,,3,,7,,16,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,9,,0,,,,,,,,,,,,,,22,7,2006,,,,,,,,,,,,,,,,,,,,
2396,2006/07/23 00:00:00+00,1.8,,7.1,,0.5,,,,3.5,,,,2,,0,,3.5,,3.7,,1.8,,2,,3.3,,0,,2,,6,,,,,,,,,,,,0.1,,0,,0,,0,,,,,,,,,,1.8,,0,,,,,,,,,,,,,,23,7,2006,,,,,,,,,,,,,,,,,,,,
