OBJECTID,RNFL_DATE,WMRS_DAM_DLY_RNF_MM,WMRS_DAM_NMBR_DLY_RNF_MM,STNB_DAM_DLY_RNF_MM,STNB_DAM_NMBR_DLY_RNF_MM,VLVL_DAM_DLY_RNF_MM,VLVL_DAM_NMBR_DLY_RNF_MM,THWT_KLF_DAM_DLY_RNF_MM,THWT_KLF_DAM_NMBR_DLY_RNF_MM,WDHD_DAM_DLY_RNF_MM,WDHD_DAM_NMBR_DLY_RNF_MM,DE_VLRS_HS_DAM_DLY_RNF_MM,DE_VLRS_HS_DAM_NMBR_DLY_RNF_MM,NWLN_DAM_DLY_RNF_MM,NWLN_DAM_NMBR_DLY_RNF_MM,WYNB_DAM_DLY_RNF_MM,WYNB_DAM_NMBR_DLY_RNF_MM,CNST_NEK_DAM_DLY_RNF_MM,CNST_NEK_DAM_NMBR_DLY_RNF_MM,PLTK_DAM_DLY_RNF_MM,PLTK_DAM_NMBR_DLY_RNF_MM,BLCK_UPR_WTP_DAM_DLY_RNF_MM,BLCK_UPR_WTP_DAM_NMB_DLY_RNF_MM,BLCK_LWR_DAM_DLY_RNF_MM,BLCK_LWR_DAM_NMBR_DLY_RNF_MM,GLEN_GRY_DAM_DLY_RNF_MM,GLEN_GRY_DAM_NMBR_DLY_RNF_MM,TYGR_DAM_DLY_RNF_MM,TYGR_DAM_NMBR_DLY_RNF_MM,FR_DAM_DLY_RNF_MM,FR_DAM_NMBR_DLY_RNF_MM,BRKL_DAM_DLY_RNF_MM,BRKL_DAM_NMBR_DLY_RNF_MM,ATLN_WSFL_DAM_DLY_RNF_MM,ATLN_WSFL_DAM_NMBR_DLY_RNF_MM,MLTN_DAM_DLY_RNF_MM,MLTN_DAM_NMBR_DLY_RNF_MM,KLF_NEK_DAM_DLY_RNF_MM,KLF_NEK_DAM_NMBR_DLY_RNF_MM,BRGR_DAM_DLY_RNF_MM,BRGR_DAM_NMB_DLY_RNF_MM,NWLN_DAM_DLY_EVP_MM,NWLN_DAM_NMBR_DLY_EVP_MM,STNB_DAM_DLY_EVP_MM,STNB_DAM_NMBR_DLY_EVP_MM,WMRS_DAM_DLY_EVP_MM,WMRS_DAM_NMBR_DLY_EVP_MM,BRKL_DAM_DLY_EVP_MM,BRKL_DAM_NMBR_DLY_EVP_MM,WDHD_DAM_DLY_EVP_MM,WDHD_DAM_NMBR_DLY_EVP_MM,MLTN_DAM_DLY_EVP_MM,MLTN_DAM_NMBR_DLY_EVP_MM,STNB_2_DAM_DLY_RNF_MM,STNB_2_DAM_NMBR_DLY_RNF_MM,STNB_3_DAM_DLY_RNF_MM,STNB_3_DAM_NMBR_DLY_RNF_MM,STNB_CTCH_4_DLY_RNF_MM,STNB_CTCH_4_NMBR_DLY_RNF_MM,WMRS_2_STH_DAM_DLY_RNF_MM,WMRS_2_STH_DAM_NMBR_DLY_RNF_MM,WMRS_3_NRTH_DAM_DLY_RNF_MM,WMRS_3_NRTH_DAM_NMBR_DLY_RNF_MM,WMRS_4_NEW_STH_DAM_DLY_RNF_MM,WMRS_4_NEW_STH_DAM_NMBR_DLY_RNF,WMRS_5_NEW_NRTH_DAM_DLY_RNF_MM,WMRS_5_NEW_NRTH_DAM_NMBR_DLY_RN,HS_DAM,TNL_DAM,MLS_DAM,WVL_DAM,SPRN_DAM,KTCH_DAM,WKPJ_DAM,CNEK_DISA_DAM,DAM_DAY,DAM_MNTH,DAM_YEAR,WMRS_HOEK_1_DAM_DLY_RNF,STNB_1_DAM_DLY_RNF,VLVL_DAM_DLY_RNF,THWT_DAM_DLY_RNF,WDHD_DAM_DLY_RNF,DE_VLRS_DAM_DLY_RNF,NWLN_DAM_DLY_RNF,WYNB_DAM_DLY_RNF,CNST_DAM_DLY_RNF,PLTK_DAM_DLY_RNF,BLCK_UPR_DAM_DLY_RNF,BLCK_LWR_DAM_DLY_RNF,GLNG_DAM_DLY_RNF,TYGR_DAM_DLY_RNF,FR_DAM_DLY_RNF,BRKL_DAM_DLY_RNF,ATLN_DAM_DLY_RNF,MLTN_DAM_DLY_RNF,KLFN_DAM_DLY_RNF,BRGR_DAM_DLY_RNF
17,2000/01/17 00:00:00+00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,12,,8,,,,,,,,,,,,9.5,,,,,,,,,,,,,,17,1,2000,,,,,,,,,,,,,,,,,,,,
18,2000/01/18 00:00:00+00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,10,,9.5,,,,,,,,,,,,10.5,,,,,,,,,,,,,,18,1,2000,,,,,,,,,,,,,,,,,,,,
19,2000/01/19 00:00:00+00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,9,,9,,,,,,,,,,,,11,,,,,,,,,,,,,,19,1,2000,,,,,,,,,,,,,,,,,,,,
20,2000/01/20 00:00:00+00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,12,,13,,,,,,,,,,,,10.5,,,,,,,,,,,,,,20,1,2000,,,,,,,,,,,,,,,,,,,,
21,2000/01/21 00:00:00+00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,10,,8.5,,,,,,,,,,,,8.5,,,,,,,,,,,,,,21,1,2000,,,,,,,,,,,,,,,,,,,,
22,2000/01/22 00:00:00+00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,10,,6,,,,,,,,,,,,8,,,,,,,,,,,,,,22,1,2000,,,,,,,,,,,,,,,,,,,,
23,2000/01/23 00:00:00+00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,10,,7.5,,,,,,,,,,,,7.5,,,,,,,,,,,,,,23,1,2000,,,,,,,,,,,,,,,,,,,,
24,2000/01/24 00:00:00+00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,10,,8,,,,,,,,,,,,7,,,,,,,,,,,,,,24,1,2000,,,,,,,,,,,,,,,,,,,,
25,2000/01/25 00:00:00+00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,6,,7,,,,,,,,,,,,7.5,,,,,,,,,,,,,,25,1,2000,,,,,,,,,,,,,,,,,,,,
26,2000/01/26 00:00:00+00,,,6.8,,0,,,,8.7,,,,,,0.1,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,9,,5,,,,,,,,,,,,7.5,,,,,,,,,,,,,,26,1,2000,,,,,,,,,,,,,,,,,,,,
27,2000/01/27 00:00:00+00,3,,,,3.5,,,,,,,,,,1,,,,20.8,,7,,6,,4.5,,24,,1.5,,,,,,5,,,,,,,,8,,,,8,,5,,,,,,,,,,3,,8,,,,,,,,,,,,,,27,1,2000,,,,,,,,,,,,,,,,,,,,
28,2000/01/28 00:00:00+00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,5.5,,,,6,,5,,,,,,,,,,,,6.5,,,,,,,,,,,,,,28,1,2000,,,,,,,,,,,,,,,,,,,,
29,2000/01/29 00:00:00+00,,,20.9,,0,,,,22,,,,,,15,,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,9,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,29,1,2000,,,,,,,,,,,,,,,,,,,,
30,2000/01/30 00:00:00+00,15,,,,3.6,,,,,,,,42.7,,,,,,3.8,,8,,5.5,,10.3,,4,,5,,1,,,,4.5,,,,,,,,5,,,,6,,0,,,,,,,,,,15,,5,,,,,,,,,,,,,,30,1,2000,,,,,,,,,,,,,,,,,,,,
31,2000/01/31 00:00:00+00,,,,,0,7.1,,,,,,,,,,,,,,,,,,,,,,,,,8,50.7,,,0,20,,,,,,,6,228.4,,,6,246,5,182.5,,,,,,,,,,24.5,9,243,,0,,0,,,,,,,,,31,1,2000,4,4,,,4,0,3,4,4,4,4,4,4,3,4,7,,5,,
